Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
558,Kendrick Lamar - LOYALTY. FEAT. RIHANNA.,29,1.0,8,,22546126,189761778
559,Migos - T-Shirt,36,,39,,9681183,189520094
560,Snakehips - All My Friends,39,,32,,7648380,189493855
561,Zara Larsson - Ruin My Life,23,,28,,12387820,189409768
562,Major Lazer - Run Up,21,,17,,13789550,188477960
563,Sia - The Greatest,14,5.0,5,,20550436,188130736
564,French Montana - No Stylist,25,,27,,12894471,188011040
565,DaBaby - BOP,18,,23,,15678826,187817030
566,Bobby Helms - Jingle Bell Rock,22,2.0,8,,24951120,186740160
567,Ed Sheeran - Cross Me,16,1.0,9,,19742322,185780568
568,Sebastian Yatra - Traicionera,47,,68,,5324707,185664428
569,Daya - Hide Away,43,,33,,8051377,185430160
570,Justin Timberlake - Say Something,20,,25,,12836798,185134955
571,Kodak Black - Tunnel Vision,31,,40,,10718629,184805957
572,Marshmello - One Thing Right,23,,30,,12498236,184788700
573,Rihanna - Bitch Better Have My Money,56,,17,,6936109,184133726
574,Alesso - Heroes (we could be),52,,11,,7138967,182118979
575,Sia - Thunderclouds,25,,34,,12055103,181529908
576,Tove Lo - Cool Girl,23,,26,,11477311,181099854
577,Sam Feldt - Post Malone,27,,59,,8990462,180642863
578,"Tyler, The Creator - EARFQUAKE",19,2.0,6,,22055401,180474642
579,Jay Rock - King's Dead,24,,29,,12530784,180344827
580,Band Aid - Do They Know It's Christmas? - 1984 Version,21,,12,,20989282,179135218
581,Migos - MotorSport,25,,34,,10910672,178670224
582,SHAED - Trampoline,18,,19,,14071254,178215921
583,Kodak Black - Roll In Peace,36,,79,,6161080,177159883
584,J Balvin - Sigo Extrañándote,34,,72,,6775494,177064080
585,Hailee Steinfeld - Most Girls,30,,54,,8555977,176918299
586,Alan Walker - On My Way,23,,39,,11307170,176875061
587,Adele - When We Were Young,44,,23,,9467843,176859349
588,"Lauv - fuck, i'm lonely",20,,30,,12502607,176841524
589,The Chainsmokers - Sick Boy,17,,14,,15514241,176832494
590,One Direction - Perfect,29,2.0,3,(x1),14340193,176466163
591,Taylor Swift - Lover,16,1.0,2,(x1),29990567,176422844
592,Ellie Goulding - Hate Me,25,,46,,11007915,176298314
593,David Guetta - Dangerous,38,12.0,2,(x2),9917577,176180000
594,Drake - I'm Upset,17,1.0,7,,28743698,176145018
595,The Killers - Mr. Brightside,57,,148,,4632725,176031038
596,Drake - Portland,23,,13,,18349259,175510252
597,Halsey - Graveyard,20,,31,,13583667,175384043
598,Billie Eilish - all the good girls go to hell,26,,11,,21263958,175308737
599,Eminem - The Monster,54,18.0,1,(x8),9448084,175202241
600,Jon Bellion - All Time Low,25,,30,,11324808,175004521
601,Lil Xan - Betrayed,29,,55,,7758555,174053727
602,Shakira - Clandestino,24,,39,,10333670,173816541
603,Kina - Get You The Moon,33,,95,,6895350,173551740
604,JP Cooper - September Song,35,,53,,8421372,173520421
605,Alessia Cara - Wild Things,30,,34,,8564900,172829488
606,XXXTENTACION - the remedy for a broken heart (why am I so in love),29,,27,,13521112,172520068
607,Billie Eilish - i love you,29,,21,,15560959,172044193
608,Luis Fonsi - Imposible,24,,59,,8466082,171979092
609,Lil Mosey - Noticed,28,,41,,10196053,171874143
