artist,title,views,decade
Joel Adams,Please Don't Go,11124755,2013-2020
Juice WRLD,Bandit,17067491,2013-2020
Rihanna,FourFiveSeconds,16027911,2013-2020
The Vamps,All Night,12049520,2013-2020
Steve Aoki,Just Hold On,15149705,2013-2020
Alok,Hear Me Now,11140846,2013-2020
Becky G,Cuando Te Besé,9886882,2013-2020
Sam Hunt,Body Like A Back Road,6935836,2013-2020
Maroon 5,Cold,15865523,2013-2020
Camilo,Tutu,14331450,2013-2020
Mark Ronson,Nothing Breaks Like a Heart,13877896,2013-2020
Migos,Slippery,6380929,2013-2020
Kent Jones,Don't Mind,13787675,2013-2020
The Weeknd,Pray For Me,22614831,2013-2020
AJR,Weak,11864437,2013-2020
Ariana Grande,boyfriend,31301265,2013-2020
Pitbull,Time of Our Lives,8897197,2013-2020
21 Savage,a lot,16289065,2013-2020
Ed Sheeran,Don't,5676251,2013-2020
The Chainsmokers,This Feeling,13756039,2013-2020
Taylor Swift,ME!,18447537,2013-2020
Silk City,Electricity,15978272,2013-2020
Camila Cabello,Liar,14686481,2013-2020
Carlos Vives,La Bicicleta,5853593,2013-2020
The Chainsmokers,Takeaway,12667051,2013-2020
Roddy Ricch,The Box,48937592,2013-2020
Wolfine,Bella,12354627,2013-2020
The Chainsmokers,Who Do You Love,14072352,2013-2020
Anuel Aa,Amanece,10600299,2013-2020
Charlie Puth,Marvin Gaye,7806400,2013-2020
Ariana Grande,One Last Time,7702106,2013-2020
Dante Klein,Let Me Hold You (Turn Me On),12086971,2013-2020
Kygo,Remind Me to Forget,12515053,2013-2020
Migos,Stir Fry,15232093,2013-2020
Drake,Don’t Matter To Me,43314851,2013-2020
Zion & Lennox,La Player (Bandolera),8532826,2013-2020
Polo G,Pop Out,11314759,2013-2020
Nacho,Báilame - Remix,7574934,2013-2020
Rita Ora,Anywhere,10477243,2013-2020
Dua Lipa,Kiss and Make Up,15971199,2013-2020
Halsey,Now Or Never,12920355,2013-2020
Kygo,Born To Be Yours,13905970,2013-2020
Shawn Mendes,Lost In Japan,13124790,2013-2020
Kygo,First Time,16614825,2013-2020
Childish Gambino,This Is America,34989790,2013-2020
The Chainsmokers,Call You Mine,15398512,2013-2020
Rudimental,Lay It All on Me,8560701,2013-2020
David Guetta,Say My Name,7603228,2013-2020
Bebe Rexha,I'm a Mess,8415994,2013-2020
A$AP Ferg,Plain Jane,10167689,2013-2020
Post Malone,Go Flex,8195550,2013-2020
OneRepublic,Rescue Me,11420849,2013-2020
Selena Gomez,Bad Liar,21906196,2013-2020
Piso 21,Te Vi,9809358,2013-2020
Ava Max,So Am I,11011053,2013-2020
Selena Gomez,Same Old Love,9262867,2013-2020
Iggy Azalea,Fancy,7546352,2013-2020
Jonas Brothers,Only Human,12051256,2013-2020
Aminé,Caroline,8370040,2013-2020
Harry Styles,Lights Up,26362706,2013-2020
Billie Eilish,you should see me in a crown,18860942,2013-2020
Timeflies,Once In a While,8970838,2013-2020
Lorde,Royals,5902632,2013-2020
Khalid,OTW,12410529,2013-2020
Post Malone,Take What You Want,27875018,2013-2020
Andy Williams,It's the Most Wonderful Time of the Year,23412959,2013-2020
Charlie Puth,One Call Away,9043713,2013-2020
Anuel Aa,Sola (Remix),5509589,2013-2020
Maluma,Borro Cassette,3538813,2013-2020
Nick Jonas,Close,11400512,2013-2020
Daddy Yankee,Adictiva,10882484,2013-2020
Flo Rida,"I Don't Like It, I Love It",8755532,2013-2020
Carlos Vives,Robarte un Beso,7004001,2013-2020
CNCO,Hey DJ,8759763,2013-2020
Bryson Tiller,Don't,6334569,2013-2020
Brenda Lee,Rockin' Around The Christmas Tree,24401078,2013-2020
Daddy Yankee,La Rompe Corazones,6121850,2013-2020
Sam Smith,Too Good At Goodbyes - Edit,30706135,2013-2020
Selena Gomez,Kill Em With Kindness,12791228,2013-2020
Deorro,Five More Hours - Deorro x Chris Brown,7687290,2013-2020
Keala Settle,This Is Me,12318355,2013-2020
Troye Sivan,YOUTH,7728959,2013-2020
Piso 21,Me Llamas,5308014,2013-2020
Alessia Cara,Here,7816018,2013-2020
Major Lazer,Know No Better,12632455,2013-2020
Avicii,Hey Brother,13532381,2013-2020
OMI,Cheerleader - Felix Jaehn Remix Radio Edit,8657981,2013-2020
Rauw Alejandro,Fantasias,12613248,2013-2020
Alex Sensation,Que Va,8180443,2013-2020
Justin Bieber,Mistletoe,20802468,2013-2020
Gucci Mane,I Get The Bag,9649817,2013-2020
Zac Efron,Rewrite The Stars,13767744,2013-2020
Famous Dex,PICK IT UP,7738660,2013-2020
Camila Cabello,Crying in the Club,12362727,2013-2020
David Guetta,Like I Do,13691658,2013-2020
Milky Chance,Stolen Dance,5886704,2013-2020
BLACKPINK,Kill This Love,25341137,2013-2020
Sia,The Greatest,21392605,2013-2020
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,22546126,2013-2020
Migos,T-Shirt,9681183,2013-2020
Snakehips,All My Friends,7648380,2013-2020
Zara Larsson,Ruin My Life,12387820,2013-2020
Major Lazer,Run Up,13789550,2013-2020
Sia,The Greatest,20550436,2013-2020
