artist,title,views,current avg/day
Dvbbs & Borgeous,Tsunami,1567380,N/A
Olly Murs,Troublemaker,1567193,N/A
Edward Maya,Stereo Love,1566925,N/A
Ellie Goulding,Lights,1566660,N/A
Carly Rae Jepsen,I Really Like You,1563397,N/A
Jonas Blue,Rise,1561597,N/A
Zedd,Clarity,1554007,N/A
"benny blanco, Halsey & Khalid",Eastside,1546494,N/A
Mabel,Don't Call Me Up,1541834,N/A
One Direction,Steal My Girl,1540356,N/A
Rihanna,Man Down,1538223,N/A
Ella Henderson,Ghost,1535454,N/A
American Authors,Best Day of My Life,1529736,N/A
Post Malone,Better Now,1526916,N/A
One Direction,Live While We're Young,1524662,N/A
"Lil Wayne, Wiz Khalifa & Imagine Dragons",Sucker For Pain,1524047,N/A
The Script,Superheroes,1522094,N/A
Liam Payne,Strip That Down,1520028,N/A
Jason Derülo,Don't Wanna Go Home,1517449,N/A
Ylvis,The Fox,1516908,N/A
Armin van Buuren,This Is What It Feels Like,1514755,N/A
Meduza,Piece Of Your Heart,1512924,N/A
Elle King,Ex's & Oh's,1505104,N/A
David Guetta,2U,1499675,N/A
Rihanna,California King Bed,1498123,N/A
Journey,Don't Stop Believin',1496053,N/A
twenty one pilots,Ride,1491423,N/A
Iggy Azalea,Fancy,1488904,N/A
2 Chainz & Wiz Khalifa,We Own It,1488772,N/A
Emeli Sandé,Next to Me,1487337,N/A
Helene Fischer,Atemlos durch die Nacht,1482958,N/A
Mumford & Sons,I Will Wait,1480745,N/A
OneRepublic,Good Life,1479499,N/A
Indila,Dernière danse,1478350,N/A
DJ Snake,Middle,1476998,N/A
Dua Lipa,IDGAF,1469583,N/A
Ofenbach & Nick Waterhouse,Katchi,1464744,N/A
Loren Allred,Never Enough,1461103,N/A
Lady GaGa,Judas,1461091,N/A
P!nk,Blow Me,1459617,N/A
Meghan Trainor,NO,1456163,N/A
Robin Schulz,Sun Goes Down,1455324,N/A
Sunrise Avenue,Hollywood Hills,1454511,N/A
Flo Rida,My House,1452411,N/A
Bad Meets Evil,Lighters,1451828,N/A
Katy Perry,Part of Me,1448968,N/A
Ke$ha,TiK ToK,1448661,N/A
The Avener,Fade Out Lines,1446927,N/A
Shakira,Rabiosa,1444966,N/A
Romeo Santos,Propuesta Indecente,1436280,N/A
One Direction,Perfect,1430570,N/A
Rae Sremmurd,Black Beatles,1422339,N/A
Jennifer Lopez,Ain't Your Mama,1422128,N/A
Axwell Λ Ingrosso,More Than You Know,1420543,N/A
Tinie Tempah,Written In the Stars,1414462,N/A
Pitbull,We Are One,1403101,N/A
Adam Lambert,Ghost Town,1400602,N/A
Eminem,Not Afraid,1399679,N/A
David Guetta,Little Bad Girl,1397314,N/A
Rihanna,Bitch Better Have My Money,1393900,N/A
P!NK,Just Like Fire,1392670,N/A
Taylor Swift,ME,1386172,N/A
Ava Max,So Am I,1385997,N/A
Baauer,Harlem Shake,1385866,N/A
Ac/Dc,Thunderstruck,1385721,N/A
James Bay,Let It Go,1383907,N/A
Dennis Lloyd,Nevermind,1382300,N/A
Alvaro Soler,Sofia,1380290,N/A
Martin Garrix & Dua Lipa,Scared to Be Lonely,1378834,N/A
Madcon,Don't Worry,1367836,N/A
Selena Gomez,Good For You,1365956,N/A
Beyoncé,Halo,1363382,N/A
Alan Walker,Alone,1357833,N/A
Rita Ora,Your Song,1355392,N/A
Usher,Scream,1354093,N/A
Ariana Grande,Into You,1349832,N/A
Coldplay,The Scientist,1346263,N/A
Flo Rida,GDFR,1346125,N/A
Survivor,Eye of the Tiger,1340740,N/A
Lukas Graham,Love Someone,1340599,N/A
Travie McCoy,Billionaire,1338331,N/A
Matt Simons,Catch & Release,1337164,N/A
James Blunt,Stay the Night,1334384,N/A
Taylor Swift,You Need To Calm Down,1328965,N/A
Rita Ora,Let You Love Me,1328892,N/A
Klangkarussell,Sonnentanz,1328881,N/A
Alesso,Heroes,1328334,N/A
Katy Perry,The One That Got Away,1321003,N/A
P!nk,A Million Dreams,1320616,N/A
米津玄師,Lemon,1317190,N/A
Meghan Trainor,Dear Future Husband,1316878,N/A
Imany,You Will Never Know,1312910,N/A
Shakira,Chantaje,1311984,N/A
Years & Years,King,1308692,N/A
Ed Sheeran & Andrea Bocelli,Perfect Symphony,1307804,N/A
Lauv,I Like Me Better,1307599,N/A
Ariana Grande & The Weeknd,Love Me Harder,1306378,N/A
Drake,Take Care,1304335,N/A
Ne-Yo,Let Me Love You,1303932,N/A
Kendrick Lamar,HUMBLE.,1303841,N/A
Carlos Vives & Shakira,La Bicicleta,1302887,N/A
One Direction,Best Song Ever,1302637,N/A
Katy Perry,Unconditionally,1302432,N/A
David Guetta,Sexy Bitch,1300067,N/A
P!nk,Beautiful Trauma,1299780,N/A
Anne-Marie,2002,1298994,N/A
Maroon 5,Daylight,1289712,N/A
U2,Ordinary Love,1287144,N/A
Beyoncé,Run the World,1286629,N/A
Queen,We Will Rock You,1286477,N/A
Alvaro Soler,La Cintura,1286317,N/A
Robbie Williams,Candy,1283701,N/A
Drake,Too Good,1282437,N/A
Britney Spears,I Wanna Go,1278450,N/A
Macklemore & Ryan Lewis,Same Love,1277905,N/A
Bruno Mars,Finesse,1274286,N/A
Katy Perry,Hot N Cold,1271158,N/A
Birdy,People Help the People,1270470,N/A
