Artist and Title,Days,Pk,(x?),Total,Today
Camila Cabello - Never Be the Same,254,9,,1675308,0
Calvin Harris & Alesso - Under Control,231,16,,1675194,87
Eminem - River,179,4,,1670131,0
Loud Luxury - Body,350,15,,1667914,78
Diddy - Dirty Money & Skylar Grey - Coming Home,203,9,,1667775,0
Miley Cyrus - Malibu,165,2,(x1),1666761,0
JAY Z - Holy Grail,209,8,,1666130,0
Meghan Trainor - Lips Are Movin,212,9,,1662441,0
P!nk - F**kin' Perfect,187,8,,1658493,0
Justin Bieber - As Long As You Love Me,279,2,(x1),1646643,0
Rihanna - What's My Name,184,8,,1645164,0
Drake - In My Feelings,154,1,(x27),1639535,43
DJ Antoine & Timati - Welcome to St. Tropez,324,31,,1637626,28
Calum Scott - You Are the Reason,584,24,,1637599,713
Dua Lipa - Be the One,221,23,,1637508,269
Imagine Dragons - It's Time,266,38,,1636884,13
Snow Patrol - Chasing Cars,105,56,,1633451,122
Chris Brown - Beautiful People,222,19,,1632114,0
Lady Gaga - Do What U Want,168,1,(x2),1631785,0
Ke$ha - Die Young,195,9,,1609849,0
Tove Lo - Habits,208,17,,1607753,4
Beyoncé - Drunk In Love,159,7,,1606586,34
Mike Posner - Cooler Than Me,194,11,,1605796,0
Pitbull - Fireball,202,17,,1602339,130
Daddy Yankee - Limbo,113,67,,1602174,499
Lady GaGa - Poker Face,375,47,,1600711,236
ZAYN - PILLOWTALK,147,1,(x4),1598827,58
Sheppard - Geronimo,310,31,,1598003,0
will.i.am - #thatPOWER,158,8,,1597987,0
Major Lazer - Light It Up,250,13,,1595068,0
Sean Paul - She Doesn't Mind,251,20,,1593400,0
Echosmith - Cool Kids,263,20,,1592070,16
Charli XCX - Boom Clap,228,18,,1591990,0
Wiz Khalifa - Black and Yellow,226,19,,1589978,5
Regard - Ride It,165,6,,1588754,10609
Enrique Iglesias - I Like It,178,7,,1587985,0
Justin Timberlake - Suit & Tie,148,1,(x5),1587497,0
Dua Lipa - Don't Start Now,96,1,(x7),1587447,14085
Birdy - Skinny Love,259,59,,1587333,0
Ofenbach - Be Mine,299,33,,1587022,142
Pitbull - Don't Stop the Party,210,19,,1586978,96
P!nk - Walk Me Home,250,2,(x2),1585740,583
The Chainsmokers - Paris,154,2,(x1),1584047,0
Avicii & Nicky Romero - I Could Be the One,242,18,,1583267,22
Kings of Leon - Use Somebody,126,50,,1581796,52
Iggy Azalea - Black Widow,201,14,,1581155,16
Coldplay & Rihanna - Princess of China,199,7,,1578474,22
Martin Garrix & Bebe Rexha - In the Name of Love,187,7,,1577602,0
David Guetta & Showtek - Bad,221,10,,1575654,7
Pedro Capó & Farruko - Calma,338,15,,1571721,42
Swedish House Mafia - Save the World,163,15,,1567767,0
Dvbbs & Borgeous - Tsunami,237,23,,1567380,19
Olly Murs - Troublemaker,209,13,,1567193,0
Edward Maya - Stereo Love,226,16,,1566925,11
Ellie Goulding - Lights,318,38,,1566660,45
Carly Rae Jepsen - I Really Like You,193,8,,1563397,0
Jonas Blue - Rise,257,7,,1561597,0
Zedd - Clarity,270,32,,1554007,94
"benny blanco, Halsey & Khalid - Eastside",317,11,,1546494,64
Mabel - Don't Call Me Up,295,9,,1541834,357
One Direction - Steal My Girl,136,1,(x3),1540356,16
Rihanna - Man Down,210,17,,1538223,0
Ella Henderson - Ghost,270,24,,1535454,8
American Authors - Best Day of My Life,241,23,,1529736,23
Post Malone - Better Now,337,13,,1526916,225
One Direction - Live While We're Young,183,3,(x3),1524662,18
"Lil Wayne, Wiz Khalifa & Imagine Dragons - Sucker For Pain",198,6,,1524047,21
The Script - Superheroes,215,18,,1522094,27
Liam Payne - Strip That Down,199,1,(x1),1520028,0
